year,reliability,safety,clean,driver,n
1996,2.632,2.568,2.406,2.885,1593
1997,2.522,2.894,2.543,2.973,1055
1998,2.476,2.967,2.625,3.025,1710
1999,2.302,2.99,2.623,2.992,1686
2000,2.55,3.03,2.701,3.052,1868
2001,2.691,3.084,2.733,3.123,1924
2002,2.918,3.241,2.859,3.209,1402
2003,3.209,3.384,3.116,3.337,1313
2004,3.192,3.271,3.045,3.245,1417
2005,3.133,3.279,2.982,3.207,3307
2007,2.818,3.157,2.85,3.071,3283
2009,2.942,3.227,2.944,3.14,2425
2011,3.019,3.007,2.753,3.062,3453
2013,3.233,3.333,3.002,3.386,2861
2015,3.461,3.504,3.108,3.657,1790
2017,3.418,3.6,3.198,3.757,1848
2019,3.29,3.498,3.145,3.808,1835
